^PLATFORM = GPL12
!Platform_title = Stanford Zea mays
!Platform_geo_accession = GPL12
!Platform_status = Public on Oct 09 2001
!Platform_submission_date = Jun 11 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Zea mays
!Platform_taxid = 4577
!Platform_description = A maize array fabricated with 5,376 unique expressed sequence tag (EST) clones sequenced from 4-day-old roots, immature ears and adult organ cDNA libraries.
!Platform_description = mRNA source: Zea mays strain with genetic background K55 (75%), W23 (20%), Robertson's Mutator (5%).
!Platform_web_link = http://zmdb.iastate.edu/
!Platform_pubmed_id = 12225584
!Platform_contributor = Yangrae,,Cho
!Platform_contributor = Virginia ,,Walbot
!Platform_contact_name = Yangrae,,Cho
!Platform_contact_email = yacho@sequence.stanford.edu
!Platform_contact_phone = 650-812-1976
!Platform_contact_fax = 650-812-1975
!Platform_contact_laboratory = V. Walbot
!Platform_contact_department = Biological Sciences
!Platform_contact_institute = Stanford University
!Platform_contact_address = 385 Serra Mall
!Platform_contact_city = Stanford University
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305-8221
!Platform_contact_country = USA
!Platform_sample_id = GSM57
!Platform_sample_id = GSM58
!Platform_sample_id = GSM59
!Platform_sample_id = GSM60
!Platform_sample_id = GSM61
!Platform_sample_id = GSM62
!Platform_sample_id = GSM63
!Platform_sample_id = GSM64
!Platform_sample_id = GSM65
!Platform_sample_id = GSM66
!Platform_sample_id = GSM67
!Platform_sample_id = GSM68
!Platform_sample_id = GSM69
!Platform_sample_id = GSM70
!Platform_sample_id = GSM71
!Platform_sample_id = GSM72
!Platform_sample_id = GSM73
!Platform_sample_id = GSM74
!Platform_sample_id = GSM75
!Platform_sample_id = GSM76
!Platform_sample_id = GSM77
!Platform_sample_id = GSM78
!Platform_sample_id = GSM79
!Platform_sample_id = GSM80
!Platform_series_id = GSE141
!Platform_data_row_count = 5760
#ID = 
#Homologs PID-1 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-2 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-3 = Top matching sequences to GenBank on March 1, 2001
#SPOT_ID = Spot identifier
!platform_table_begin
ID	Homologs PID-1	Homologs PID-2	Homologs PID-3	SPOT_ID
707001A02.x1	Homolog PID: 5803272 ESTs AU055950(S20175),C73125(E29... [Oryza sativa]	Homolog PID: 804948 acyl-(acyl carrier protein) thio... [Arabidopsis thaliana]	Homolog PID: 666431	707001A02.x1
707002E03.y1	Homolog PID: 553073 reverse transcriptase [Zea mays]	Homolog PID: 4996367 polyprotein [Arabidopsis thaliana]	Homolog PID: 3924609 putative polyprotein of LTR tran... [Arabidopsis thaliana	707002E03.y1
707002G11.y1				707002G11.y1
707003H06.x3	Homolog PID: 8778447 F18O14.3 [Arabidopsis thaliana]	Homolog PID: 3152606 putative C3HC4-type RING zinc fi... [Arabidopsis thaliana]	Homolog PID: 6646765 putative RING zinc finger protei.	707003H06.x3
707004B03.y1	Homolog PID: 8843774 gene_id:MYN8.6~similar to unknow... [Arabidopsis thaliana]			707004B03.y1
707004G10.x1				707004G10.x1
707001A04.x1	Homolog PID: 9759405 2-oxoglutarate/malate translocator [Arabidopsis thaliana]	Homolog PID: 9759404 2-oxoglutarate/malate translocator [Arabidopsis thaliana]		707001A04.x1
707002E04.y1	Homolog PID: 3128218 putative katanin [Arabidopsis thaliana]	Homolog PID: 11071813 probable katanin-like protein [Leishmania major]	Homolog PID: 11071772 probable AAA ATPase [Leis	707002E04.y1
707003C01.x3				707003C01.x3
707003H07.x2				707003H07.x2
707004H03.x2	Homolog PID: 396149 chalcone flavonone isomerase [Zea mays]			707004H03.x2
707004A11.x2				707004A11.x2
707001C09.x1				707001C09.x1
707002B05.y1				707002B05.y1
707003C02.x2				707003C02.x2
707003H08.x4	Homolog PID: 6091731 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 6513939 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 1651805 hypothetical protein [Sy	707003H08.x4
707004G04.x2				707004G04.x2
707004D11.y1				707004D11.y1
707001E11.x1	Homolog PID: 4309698 putative glucosyltransferase [Arabidopsis thaliana]	Homolog PID: 7267435 putative glucosyltransferase [Arabidopsis thaliana]	Homolog PID: 7270062 	707001E11.x1
707002F05.y1	Homolog PID: 10176795 gene_id:K5F14.2~pir||B71406~simi...	Homolog PID: 11128415 bHLH transcription factor, putat... [Arabidopsis thaliana]	Homolog PID: 2244797 hypothetical protein [	707002F05.y1
