^PLATFORM = GPL13
!Platform_title = MSU-1
!Platform_geo_accession = GPL13
!Platform_status = Public on Jul 20 2001
!Platform_submission_date = Jul 20 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Arabidopsis thaliana
!Platform_taxid = 3702
!Platform_description = Tip Configuration: Standard 1-tip
!Platform_description = Columns per Sector: 1
!Platform_description = Rows per Sector: 1
!Platform_description = Column Spacing: 1.1
!Platform_description = Row Spacing: 1.1
!Platform_description = Microarray containing 11,521 Arabidopsis expressed sequence tags, representing an estimated 7800 unique genes.
!Platform_pubmed_id = 11158533
!Platform_contributor = R,,Schaffer
!Platform_contributor = J,,Landgraf
!Platform_contributor = M,,Accerbi
!Platform_contributor = V,,Simon
!Platform_contributor = M,,Larson
!Platform_contributor = E,,Wisman
!Platform_contact_name = ,,Stanford Microarray Database
!Platform_contact_email = array@genome.stanford.edu
!Platform_contact_phone = 650-498-6012
!Platform_contact_department = Stanford University, School of Medicine
!Platform_contact_institute = Stanford Microarray Database (SMD)
!Platform_contact_address = 300 Pasteur Drive
!Platform_contact_city = Stanford
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305
!Platform_contact_country = USA
!Platform_contact_web_link = http://genome-www5.stanford.edu/
!Platform_sample_id = GSM423
!Platform_sample_id = GSM424
!Platform_sample_id = GSM425
!Platform_sample_id = GSM426
!Platform_sample_id = GSM427
!Platform_sample_id = GSM428
!Platform_sample_id = GSM429
!Platform_sample_id = GSM430
!Platform_sample_id = GSM431
!Platform_sample_id = GSM432
!Platform_sample_id = GSM433
!Platform_sample_id = GSM434
!Platform_sample_id = GSM435
!Platform_series_id = GSE4
!Platform_data_row_count = 12800
#ID = 
#NAME = name of spot
#CLONE_ID = clone identifier
#SPOT_ID = Spot identifier
#Description = description of spot
#GB_ACC = GenBank accession LINK_PRE:"http://www.ncbi.nlm.nih.gov/nuccore/?term="
#Gene Info = information about the gene represented by the sequence in the spot/feature
#SECTOR = spot sector grid coordinate
#SECTORROW = spot row grid coordinate
#SECTORCOL = spot column grid coordinate
#SOURCE = source of clone
#PLATE = clone plate identifier
#PROW = clone plate row
#PCOL = clone plate column
#FAILED = 
#IS_VERIFIED = 
#IS_CONTAMINATED = 
!platform_table_begin
ID	NAME	CLONE_ID	SPOT_ID	Description	GB_ACC	Gene Info	SECTOR	SECTORROW	SECTORCOL	SOURCE	PLATE	PROW	PCOL	FAILED	IS_VERIFIED	IS_CONTAMINATED
1	CONTROL-BRS		CONTROL-BRS				1	1	1	MSU:384(1A1)	1	A	1	0	N	U
2	34358	4D3T7P			T04790	(AC006931) putative MAP kinase [Arabidopsis thaliana]	1	1	1	MSU:384(1A2)	1	A	2	0	N	U
3	34359	42G3XP			AA586016		1	1	1	MSU:384(1A3)	1	A	3	0	N	U
4	34360	86D5T7			T20525	(AJ245407) putative syntaxin protein [Arabidopsis thaliana]	1	1	1	MSU:384(1A4)	1	A	4	0	N	U
5	34361	88L16XP			AI100430		1	1	1	MSU:384(1A5)	1	A	5	0	N	U
6	34362	92N5T7			T21496	(AC005916) Contains similarity to gb|AF078070 heat-shock protein 90 from Griffithsia japonica.  EST gb|T21496 comes from this gene. [Arabidopsis thaliana]	1	1	1	MSU:384(1A6)	1	A	6	0	N	U
7	34363	31A3TT			AA728529	(AC007357) EST gb|T22808 comes from this gene. [Arabidopsis thaliana]	1	1	1	MSU:384(1A7)	1	A	7	0	N	U
8	34364	33F3TT			AA728542	(AC007019) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1A8)	1	A	8	0	N	U
9	34365	61D1T7			T41604		1	1	1	MSU:384(1A9)	1	A	9	0	N	U
10	34366	89M16T7			T20648	(AC007069) putative histidine kinase [Arabidopsis thaliana]	1	1	1	MSU:384(1A10)	1	A	10	0	N	U
11	34367	90C14XP			AA586227	(AC006234) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1A11)	1	A	11	0	N	U
12	34368	94J10T7			T20861	(AJ009608) BnMAP4K alpha1 [Brassica napus]	1	1	1	MSU:384(1A12)	1	A	12	0	N	U
13	34369	36E9T7			T04492	spliceosomal protein SAP 155 [Homo sapiens]	1	1	1	MSU:384(1A13)	1	A	13	0	N	U
14	34370	37D12XP			AA585964		1	1	1	MSU:384(1A14)	1	A	14	0	N	U
15	34371	72C4T7			T45349	(AL049171) putative protein (fragment) [Arabidopsis thaliana]	1	1	1	MSU:384(1A15)	1	A	15	0	N	U
16	34372	90M3XP			AI100488	(AC005724) putative trehalose-6-phosphate synthase [Arabidopsis thaliana]	1	1	1	MSU:384(1A16)	1	A	16	0	N	U
17	34373	91D9T7			AA067447		1	1	1	MSU:384(1A17)	1	A	17	0	N	U
18	CONTROL-BRS		CONTROL-BRS				1	1	1	MSU:384(1A18)	1	A	18	0	N	U
19	34374	39E10T7			T04380		1	1	1	MSU:384(1A19)	1	A	19	0	N	U
20	34375	40B12XP			AA395721		1	1	1	MSU:384(1A20)	1	A	20	0	N	U
21	34376	81A2T7			T20438	(AC005698) T3P18.12 [Arabidopsis thaliana]	1	1	1	MSU:384(1A21)	1	A	21	0	N	U
22	34377	91P20T7			H39295	(X98090) GTPase [Synechocystis PCC6803]	1	1	1	MSU:384(1A22)	1	A	22	0	N	U
