^PLATFORM = GPL14
!Platform_title = ce_rosetta
!Platform_geo_accession = GPL14
!Platform_status = Public on Jul 24 2001
!Platform_submission_date = Jul 24 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Caenorhabditis elegans
!Platform_taxid = 6239
!Platform_description = A microarray with 13323 spot features.
!Platform_description = Tip Configuration: Standard 1-tip
!Platform_description = Columns per Sector: 1
!Platform_description = Rows per Sector: 1
!Platform_description = Column Spacing: 1.1
!Platform_description = Row Spacing: 1.1
!Platform_contact_name = ,,Stanford Microarray Database
!Platform_contact_email = array@genome.stanford.edu
!Platform_contact_phone = 650-498-6012
!Platform_contact_department = Stanford University, School of Medicine
!Platform_contact_institute = Stanford Microarray Database (SMD)
!Platform_contact_address = 300 Pasteur Drive
!Platform_contact_city = Stanford
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305
!Platform_contact_country = USA
!Platform_contact_web_link = http://genome-www5.stanford.edu/
!Platform_sample_id = GSM436
!Platform_sample_id = GSM437
!Platform_sample_id = GSM438
!Platform_sample_id = GSM439
!Platform_sample_id = GSM440
!Platform_sample_id = GSM441
!Platform_sample_id = GSM442
!Platform_sample_id = GSM443
!Platform_sample_id = GSM444
!Platform_sample_id = GSM445
!Platform_sample_id = GSM446
!Platform_sample_id = GSM447
!Platform_sample_id = GSM448
!Platform_sample_id = GSM449
!Platform_sample_id = GSM450
!Platform_sample_id = GSM451
!Platform_sample_id = GSM452
!Platform_sample_id = GSM453
!Platform_sample_id = GSM454
!Platform_sample_id = GSM455
!Platform_sample_id = GSM456
!Platform_sample_id = GSM457
!Platform_sample_id = GSM458
!Platform_sample_id = GSM459
!Platform_sample_id = GSM460
!Platform_sample_id = GSM461
!Platform_sample_id = GSM462
!Platform_sample_id = GSM463
!Platform_sample_id = GSM464
!Platform_sample_id = GSM465
!Platform_sample_id = GSM466
!Platform_sample_id = GSM467
!Platform_sample_id = GSM468
!Platform_sample_id = GSM469
!Platform_sample_id = GSM211535
!Platform_sample_id = GSM211537
!Platform_sample_id = GSM211538
!Platform_series_id = GSE5
!Platform_series_id = GSE8520
!Platform_data_row_count = 13323
#ID = 
#ORF = name of spot
#Description = description of spot
#Chromosome = chromosome
#Position = position
#Gene name = gene name
#SECTOR = spot sector grid coordinate
#SECTORROW = spot row grid coordinate
#SECTORCOL = spot column grid coordinate
#PLATE = clone plate identifier
#PROW = clone plate row
#PCOL = clone plate column
#FAILED = 
#IS_CONTAMINATED = 
!platform_table_begin
ID	ORF	Description	Chromosome	Position	Gene name	SECTOR	SECTORROW	SECTORCOL	PLATE	PROW	PCOL	FAILED	IS_CONTAMINATED
1	AC3.5	Member of the aminopeptidase protein family	5	10337580	AC3.5	1	1	1	1	A	1	0	U
2	AC3.7	Member of the UDP-glucuronosyltransferase protein family	5	10344769	AC3.7	1	1	1	1	A	2	2	U
3	AC3.8	Member of the UDP-glucuronosyltransferase protein family	5	10347864	AC3.8	1	1	1	1	A	3	0	U
4	AH6.2	Member of the mitochondrial tricarboxylate carrier (MTC) protein family	2	9509085	AH6.2	1	1	1	1	A	4	0	U
5	AH6.6	Member of the 7TM receptor protein family	2	9520242	sra-2/AH6.6	1	1	1	1	A	5	0	U
6	AH6.8	"G protein-coupled receptor; member of a subfamily with SRA proteins, which are expressed in chemosensory neurons; no homolog found in human or D. melanogaster"	2	9533122	sra-4/AH6.8	1	1	1	1	A	6	0	U
7	B0001.3	Protein with moderate similarity to C. elegans B0001.5 gene product	4	11730380	B0001.3	1	1	1	1	A	7	0	U
8	B0001.5	"Protein of unknown function, has similarity across a region of the C-terminus to human DNA-binding protein SON, has similarity across N-terminal half to C. elegans B0001.3"	4	11725809	B0001.5	1	1	1	1	A	8	0	U
9	B0024.1	Putative collagen	5	10240846	B0024.1	1	1	1	1	A	9	0	U
10	B0024.2	Putative collagen	5	10242686	B0024.2	1	1	1	1	A	10	0	U
11	B0024.4	Member of an uncharacterized protein family	5	10246484	B0024.4	1	1	1	1	A	11	1	U
12	B0240.1	Putative ortholog of human Rhesus blood group-associated glycoprotein RHAG	5	11677039	rhr-2/B0240.1	1	1	1	1	A	12	0	U
13	B0272.5	Member of an uncharacterized protein family	X	9171594	B0272.5/B0272.5A	1	1	1	1	A	13	0	U
14	B0284.1	"Protein of unknown function, contains putative coiled-coil domains"	3	3814245	B0284.1	1	1	1	1	A	14	0	U
15	B0365.3	"Sodium, potassium ATPase, alpha subunit; a P-type ATPase"	5	13075707	eat-6/spa-1/B0365.3	1	1	1	1	A	15	0	U
16	B0365.7	Member of the dynein heavy chain protein family	5	13088042	B0365.7	1	1	1	1	A	16	0	U
17	B0393.3	"Protein of unknown function, contains two leucine-rich repeat domains"	3	4192422	B0393.3	1	1	1	1	A	17	0	U
18	B0457.1	"Protein with similarity to a human leukocyte transmembrane protein, CD97beta"	2	8888343	B0457.1	1	1	1	1	A	18	0	U
19	B0462.3	Member of an uncharacterized protein family	5	18147602	B0462.3	1	1	1	1	A	19	0	U
20	B0464.2	Member of the TPR domain protein family	3	8932109	B0464.2	1	1	1	1	A	20	0	U
21	B0464.6	Protein of unknown function	3	8903572	B0464.6	1	1	1	1	A	21	0	U
22	B0491.1	"Protein with strong similarity to S. cerevisiae Yjr013p, a protein of unknown function"	2	11339256	B0491.1	1	1	1	1	A	22	0	U
23	BE10.1	"Protein of unknown function, putative paralog of C. elegans R102.7"	3	12007226	BE10.1	1	1	1	1	A	23	1	U
24	C01A2.1	"Possible coiled-coil protein, has weak similarity to human endosomal antigen EEA1"	1	12598071	C01A2.1	1	1	1	1	A	24	0	U
25	C01B9.1	Member of an uncharacterized protein family	2	13588097	C01B9.1	1	1	1	1	B	1	0	U
26	C01F6.3	Putative P450 heme-thiolate protein (cytochrome P450)	4	8692814	C01F6.3	1	1	1	1	B	2	0	U
27	C01G6.3	Protein of unknown function	2	9260977	C01G6.3	1	1	1	1	B	3	0	U
28	C01G6.7	Member of the acetyl-CoA synthetase protein family	2	9283482	C01G6.7	1	1	1	1	B	4	0	U
29	C01G6.8	"Putative receptor tyrosine protein kinase, member of the ROR family of tyrosine receptor kinases of unknown function"	2	9287872	cam-1/kin-8/Cehd-17/C01G6.8/D2013.4	1	1	1	1	B	5	0	U
30	C01G10.9	"Putative ortholog of S. cerevisiae Ypr118p, a protein of unknown function"	5	15006970	C01G10.9	1	1	1	1	B	6	0	U
31	C01G10.10	Protein with strong similarity to predicted o-sialoglycoprotein endopeptidases	5	15004577	C01G10.10	1	1	1	1	B	7	0	U
32	C01G12.5	Member of the alcohol/ribitol dehydrogenase-like protein family	2	14363613	C01G12.5	1	1	1	1	B	8	0	U
33	C03E10.4	Protein of unknown function	5	11232341	mgat2/C03E10.4	1	1	1	1	B	9	0	U
34	C04B4.1	"Protein of unknown function, has strong similarity to C. elegans B0513.1"	X	12026277	C04B4.1	1	1	1	1	B	10	0	U
35	C04B4.4	"Protein of unknown function, has strong similarity to C. elegans C04B4.2"	X	12035471	C04B4.4	1	1	1	1	B	11	0	U
36	C04C11.2	"Protein of unknown function, has weak similarity to C. elegans T12D8.4"	X	13779298	C04C11.2	1	1	1	1	B	12	0	U
37	C04G2.10	"Protein of unknown function, has moderate similarity to C. elegans Y119D3_455.B"	4	9707863	C04G2.10	1	1	1	1	B	13	0	U
38	C05B5.3	Protein with weak similarity to S. cerevisiae NUP57 (Nuclear pore protein (nucleoporin) of the GLFG family)	3	9436707	C05B5.3	1	1	1	1	B	14	0	U
39	C05C10.2	"Protein with moderate similarity to helicases, putative paralog of C. elegans C44H9.2 and C. elegans C44H9.4, has similarity over the C-terminus to S. cerevisiae and human regulators of nonsense-mediated mRNA decay"	2	9913711	C05C10.2	1	1	1	1	B	15	0	U
40	C05C10.3	Member of the coenzyme A transferase protein family	2	9926010	C05C10.3	1	1	1	1	B	16	0	U
41	C05C10.6	Member of the WD repeat protein family	2	9932224	C05C10.6	1	1	1	1	B	17	0	U
42	C05D12.4	"Putative coiled-coil protein, has weak similarity to myosin heavy chains"	2	11422647	C05D12.4	1	1	1	1	B	18	0	U
43	C06A1.4	"Piwi-related protein with similarity over the C-terminal region to human and D. melanogaster PIWI proteins and C. elegans PRG-1 and PRG-2, all of which are involved in germ-line proliferation"	2	10566304	C06A1.4	1	1	1	1	B	19	0	U
44	C06B8.5	Member of the transposase protein family	5	15414097	C06B8.5	1	1	1	1	B	20	0	U
45	C06C6.3	"G protein coupled receptor, member of a large subfamily that contains ODR-10 odorant response protein, no homolog found in human or D. melanogaster"	5	15930485	C06C6.3	1	1	1	1	B	21	0	U
46	C06C6.6	Member of an uncharacterized protein family	5	15912935	C06C6.6	1	1	1	1	B	22	0	U
47	C06C6.7	"Member of an uncharacterized protein family, has weak similarity to human kinectin 1 (kinesin receptor) KTN1"	5	15916387	C06C6.7	1	1	1	1	B	23	0	U
48	C06H2.4	Putative folate transporter protein	5	11090558	C06H2.4	1	1	1	1	B	24	0	U
49	C06H5.1	Member of an uncharacterized protein family	5	17915651	C06H5.1	1	1	1	1	C	1	0	U
50	C07A4.3	"Protein extracellular protein, has strong similarity in the C-terminal region to members of the pathogen-related in yeast (PRY) protein family, has similarity in the C-terminal region to human and C.elegans members of the testis-specific protein (TPX-1 like) protein family"	X	9928028	C07A4.3	1	1	1	1	C	2	0	U
51	C07A9.5	"Putative coiled-coil protein with similarity to alpha spectrins and alpha actinins of human and D. melanogaster, possible paralog of C. elegans C50C3.2"	3	9121975	C07A9.5	1	1	1	1	C	3	1	U
52	C07E3.8	"Protein with similarity to C. elegans PHA-1, a protein involved in pharyngeal development"	2	10343724	C07E3.8	1	1	1	1	C	4	0	U
53	C07G2.1	"Possible cell junction protein with weak similarity to endochitinase and to D. melanogaster CPN (Calphotin, a calcium,-binding protein), member of an uncharacterized C. elegans protein family"	3	3926578	cej-1/C07G2.1	1	1	1	1	C	5	0	U
54	C07G2.2					1	1	1	1	C	6	0	U
55	C08B6.4	Member of the chitinase protein family	5	10064648	C08B6.4	1	1	1	1	C	7	0	U
56	C08B11.3	Member of the ARID DNA binding domain protein family	2	8014750	C08B11.3	1	1	1	1	C	8	0	U
57	C08H9.2	"Putative ortholog of human high density lipoprotein binding protein HBP (Hs.177516), a protein up-regulated by cholesterol"	2	9878505	C08H9.2	1	1	1	1	C	9	0	U
58	C08H9.6	Member of the chitinase protein family	2	9864727	C08H9.6	1	1	1	1	C	10	0	U
59	C08H9.7	Member of the chitinase protein family	2	9851331	C08H9.7	1	1	1	1	C	11	0	U
60	C08H9.10	Member of the chitinase protein family	2	9845456	C08H9.10	1	1	1	1	C	12	2	U
61	C08H9.14	Member of the chitinase protein family	2	9863123	C08H9.14	1	1	1	1	C	13	2	U
62	C09F12.2	Protein of unknown function	X	10808639	C09F12.2	1	1	1	1	C	14	0	U
63	C09G1.2	"Protein of unknown function, has similarity to coiled-coil proteins, has similarity over the N-terminal region to C. elegans D1044.6"	X	15690601	C09G1.2	1	1	1	1	C	15	0	U
64	C09G5.3	Member of the collagen triple helix repeat (20 Copies) protein family	2	10695080	C09G5.3	1	1	1	1	C	16	0	U
65	C09G5.6	Member of the collagen triple helix repeat (20 Copies) protein family	2	10700476	C09G5.6	1	1	1	1	C	17	0	U
66	C09G9.4	"Protein with similarity to members of the aromatic-L-amino-acid decarboxylase protein family, has similarity to human and D. melanogaster histidine decarboxylases"	4	8465597	C09G9.4	1	1	1	1	C	18	0	U
67	C09G9.6	"Protein containing a putative zinc finger domain, putative paralog of C. elegans ZC513.6"	4	8480000	C09G9.6	1	1	1	1	C	19	0	U
68	C09H10.6	"Protein with similarity to human (NASP) and Xenopus (N1/N2) histone-binding proteins, has strong similarity to C. elegans C50B6.2"	2	11098100	C09H10.6	1	1	1	1	C	20	0	U
69	C10C5.2	"Protein of unknown function, has weak similarity to C. elegans K06H7.2"	4	8962546	C10C5.2	1	1	1	1	C	21	0	U
70	C10C5.4	"Putative aminoacylase 1, putative ortholog of human aminoacylase 1 ACY1"	4	8969699	C10C5.4	1	1	1	1	C	22	0	U
71	C10C5.5	"Putative aminoacylase 1, putative ortholog of human aminoacylase 1 ACY1"	4	8972552	C10C5.5	1	1	1	1	C	23	2	U
72	C10C6.5	"Probable membrane transporter of the ATP-binding cassette (ABC) superfamily, has strong similarity to S. cerevisiae Snq2p drug efflux pump"	4	11063624	C10C6.5	1	1	1	1	C	24	0	U
73	C12C8.1	Member of the heat shock HSP70 protein family	1	8651787	C12C8.1	1	1	1	1	D	1	0	U
74	C12D8.8	Protein with strong similarity to several C. elegans putative collagens and moderate similarity to human collagens	5	10190836	C12D8.8	1	1	1	1	D	2	0	U
75	C13C4.5	"Member of the hexose transporter, major facilitator superfamily (MFS) protein family"	5	12064059	C13C4.5	1	1	1	1	D	3	0	U
76	C13C12.2	Protein of unknown function	5	12472956	C13C12.2	1	1	1	1	D	4	0	U
77	C14A4.2	"Protein with strong similarity to human death associated protein DAP3, a protein involved in resistance to ionizing radiation"	2	10572596	dap3/C14A4.2	1	1	1	1	D	5	0	U
78	C14A4.3	"Putative ortholog of S. cerevisiae Alg9p, a mannosyltransferase involved in N-glycosylation"	2	10575806	C14A4.3	1	1	1	1	D	6	0	U
79	C14A4.4	Putative ortholog of S. cerevisiae RRP6 [Protein involved in 5.8S ribosomal RNA 3' end formation]	2	10579505	C14A4.4	1	1	1	1	D	7	0	U
80	C14B1.3	Protein of unknown function	3	3140884	C14B1.3	1	1	1	1	D	8	0	U
81	C14B1.4	"Member of the WD repeat protein family, possible paralog of C. elegans K04G11.4 and ZC302.2"	3	3142515	C14B1.4	1	1	1	1	D	9	0	U
82	C14B1.7	"Piwi-related protein with similarity over the C-terminal region to human and D. melanogaster PIWI proteins and C. elegans PRG-1 and PRG-2, all of which are involved in germ-line proliferation"	3	3157528	C14B1.7	1	1	1	1	D	10	0	U
