^PLATFORM = GPL8
!Platform_title = Cerebellargenexp
!Platform_geo_accession = GPL8
!Platform_status = Public on Apr 18 2001
!Platform_submission_date = Apr 18 2001
!Platform_last_update_date = Mar 06 2006
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Mus musculus
!Platform_taxid = 10090
!Platform_description = The Affymetrix GeneChip Mu11K was used to analyze the gene expression profile in developing mouse cerebellum (two GeneChips per E18, P7, P14, P21, and P56) to assist in the understanding of the genetic basis of cerebellar development in mice.  The analysis showed 81.6% (10,321/12,654) of the genes represented on the GeneChip were expressed in the postnatal cerebellum, and among those, 8.7% (897/10,321) were differentially expressed with more than a two-fold change in their maximum and minimum expression levels during the developmental time course.  All of these 897 differentially expressed genes were listed in this platform.  The explanation of gene function classification is as follows:  CGDD (cellular growth, differentiation, and death), CLAM (carbohydrate, lipid, and amino acid metabolism), CSC (cell structure and communication), IMTN (intra/intercellular molecular transport and neurotransmission), NNM (nucleotide and nucleic acid metabolism), ST (signal transduction), and TTPM (transcription, translation, and protein modification).
!Platform_description = Keywords = cerebellum, postnatal development, high-density oligonucleotide array
!Platform_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_contact_name = Yoshihiro,,Kagami
!Platform_contact_email = ykagami@brain.riken.go.jp
!Platform_contact_phone = +81-48-467-6079
!Platform_contact_fax = +81-48-467-6079
!Platform_contact_laboratory = Molecular Neurogenesis
!Platform_contact_department =  
!Platform_contact_institute = RIKEN Brain Science Institute
!Platform_contact_address = 2-1 Hirosawa
!Platform_contact_city = Wako-shi
!Platform_contact_state = Saitama
!Platform_contact_zip/postal_code = 351-0198
!Platform_contact_country = Japan
!Platform_contact_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_sample_id = GSM50
!Platform_sample_id = GSM51
!Platform_sample_id = GSM52
!Platform_sample_id = GSM53
!Platform_sample_id = GSM54
!Platform_series_id = GSE2
!Platform_data_row_count = 897
#ID = 
#GB_ACC = GenBank accession number LINK_PRE:"http://www.ncbi.nlm.nih.gov/nuccore/?term="
#DESCRIPTION = Gene or EST description
#FUNCTION = Gene function classification
#SUBFUNCTION = More specified gene function classification
!platform_table_begin
ID	GB_ACC	DESCRIPTION	FUNCTION	SUBFUNCTION
1	AF044672	alpha-synuclein	CGDD	death
2	U96116	amyloid beta-peptide binding protein (ERAB)	CGDD	death
3	U54803	Caspase 3, apoptosis related cysteine protease	CGDD	death
4	AF011908	apoptosis associated tyrosine kinase (AATYK)	CGDD	death
5	AF027707	apoptosis activator Mtd (Mtd)	CGDD	death
6	D28492	Caspase 2	CGDD	death
7	Y11905	BCL7C	CGDD	death
8	AF015769	manic fringe (manic-fringe)	CGDD	growth/diff.
9	AF051347	REX-3	CGDD	growth/diff.
10	AF053454	tetraspan TM4SF (Tspan-6)	CGDD	growth/diff.
11	L12447	Insulin-like growth factor binding protein 5	CGDD	growth/diff.
12	L22472	Bcl2-associated X protein	CGDD	growth/diff.
13	M35970	tumor metastatic process-associated protein (NM23)	CGDD	growth/diff.
14	M96163	serum inducible kinase (SNK)	CGDD	growth/diff.
15	U33629	Myeloid ecotropic viral integration site 1	CGDD	growth/diff.
16	U41341	endothelial monocyte-activating polypeptide I	CGDD	growth/diff.
17	U42383	Fibroblast growth factor inducible 13	CGDD	growth/diff.
18	U82441	Early B-cell factor 2	CGDD	growth/diff.
19	U84411	protein tyrosine phosphatase (PRL-1)	CGDD	growth/diff.
20	U88567	secreted frizzled related protein sFRP-2 (Sfrp2)	CGDD	growth/diff.
21	U89527	P35	CGDD	growth/diff.
22	X53928	PGI (biglycan)	CGDD	growth/diff.
23	X53929	Decorin	CGDD	growth/diff.
24	X70842	Kinase insert domain protein receptor (Flk-1)	CGDD	growth/diff.
25	X74760	Notch gene homolog 3, (Drosophila)	CGDD	growth/diff.
26	X76066	Insulin like growth factor binding protein 4	CGDD	growth/diff.
27	X81580	Insulin-like growth factor binding protein 2	CGDD	growth/diff.
28	X87817	Ulip protein	CGDD	growth/diff.
29	X92346	Tnf receptor associated factor 4	CGDD	growth/diff.
30	X98471	Epithelial membrane protein 1	CGDD	growth/diff.
31	Y08380	Disabled homolog 1 (Drosophila)	CGDD	growth/diff.
32	Z11886	Notch gene homolog 1 (Drosophila)	CGDD	growth/diff.
33	M91380	Follistatin-like	CGDD	growth/diff.
34	AF004874	Latent transforming growth factor beta binding protein 2	CGDD	growth/diff.
35	AF016697	Duffy blood group	CGDD	growth/diff.
36	AF045887	Angiotensinogen	CGDD	growth/diff.
